# dom_id  dom_x  dom_y  dom_z
0 1502.27 9.88266 7198.65
1 -1497.73 9.88266 7198.65
2 -2997.73 9.88266 4600.58
3 -1497.73 9.88266 2002.5
4 1502.27 9.88266 2002.5
5 3002.27 9.88266 4600.58
6 1502.27 -2990.12 7198.65
7 -1497.73 -2990.12 7198.65
8 -2997.73 -2990.12 4600.58
9 -1497.73 -2990.12 2002.5
10 1502.27 -2990.12 2002.5
11 3002.27 -2990.12 4600.58
12 1502.27 -5990.12 7198.65
13 -1497.73 -5990.12 7198.65
14 -2997.73 -5990.12 4600.58
15 -1497.73 -5990.12 2002.5
16 1502.27 -5990.12 2002.5
17 3002.27 -5990.12 4600.58
18 1502.27 9.88266 18198.7
19 -1497.73 9.88266 18198.7
20 -2997.73 9.88266 15600.6
21 -1497.73 9.88266 13002.5
22 1502.27 9.88266 13002.5
23 3002.27 9.88266 15600.6
24 1502.27 -2990.12 18198.7
25 -1497.73 -2990.12 18198.7
26 -2997.73 -2990.12 15600.6
27 -1497.73 -2990.12 13002.5
28 1502.27 -2990.12 13002.5
29 3002.27 -2990.12 15600.6
30 1502.27 -5990.12 18198.7
31 -1497.73 -5990.12 18198.7
32 -2997.73 -5990.12 15600.6
33 -1497.73 -5990.12 13002.5
34 1502.27 -5990.12 13002.5
35 3002.27 -5990.12 15600.6
36 1502.27 9.88266 29198.7
37 -1497.73 9.88266 29198.7
38 -2997.73 9.88266 26600.6
39 -1497.73 9.88266 24002.5
40 1502.27 9.88266 24002.5
41 3002.27 9.88266 26600.6
42 1502.27 -2990.12 29198.7
43 -1497.73 -2990.12 29198.7
44 -2997.73 -2990.12 26600.6
45 -1497.73 -2990.12 24002.5
46 1502.27 -2990.12 24002.5
47 3002.27 -2990.12 26600.6
48 1502.27 -5990.12 29198.7
49 -1497.73 -5990.12 29198.7
50 -2997.73 -5990.12 26600.6
51 -1497.73 -5990.12 24002.5
52 1502.27 -5990.12 24002.5
53 3002.27 -5990.12 26600.6
54 1502.27 9.88266 40198.7
55 -1497.73 9.88266 40198.7
56 -2997.73 9.88266 37600.6
57 -1497.73 9.88266 35002.5
58 1502.27 9.88266 35002.5
59 3002.27 9.88266 37600.6
60 1502.27 -2990.12 40198.7
61 -1497.73 -2990.12 40198.7
62 -2997.73 -2990.12 37600.6
63 -1497.73 -2990.12 35002.5
64 1502.27 -2990.12 35002.5
65 3002.27 -2990.12 37600.6
66 1502.27 -5990.12 40198.7
67 -1497.73 -5990.12 40198.7
68 -2997.73 -5990.12 37600.6
69 -1497.73 -5990.12 35002.5
70 1502.27 -5990.12 35002.5
71 3002.27 -5990.12 37600.6
72 1502.27 9.88266 51198.7
73 -1497.73 9.88266 51198.7
74 -2997.73 9.88266 48600.6
75 -1497.73 9.88266 46002.5
76 1502.27 9.88266 46002.5
77 3002.27 9.88266 48600.6
78 1502.27 -2990.12 51198.7
79 -1497.73 -2990.12 51198.7
80 -2997.73 -2990.12 48600.6
81 -1497.73 -2990.12 46002.5
82 1502.27 -2990.12 46002.5
83 3002.27 -2990.12 48600.6
84 1502.27 -5990.12 51198.7
85 -1497.73 -5990.12 51198.7
86 -2997.73 -5990.12 48600.6
87 -1497.73 -5990.12 46002.5
88 1502.27 -5990.12 46002.5
89 3002.27 -5990.12 48600.6
